地区,2010,2011,2012,2013,2014,2015,2016,2017
北京,115050,97883.33,93849.39,87041.62,78906.03,71171.67,33210.02,20085.4
天津,235150,230900,224521.4,216832.07,209200,185900.43,70614.09,55643.87
河北,1233780,1412128.73,1341201.15,1284697.46,1189902.56,1108370.93,789443.81,602365.82
山西,1249201,1399051.29,1301755,1255426.92,1208225.28,1120643.18,686444.28,573077.61
内蒙古,1394100,1409404.33,1384928.33,1358691.74,1312436.37,1230945.68,625742.23,546254.73
辽宁,1022207,1126169.82,1058712.3,1027044.07,994597.4,968766.93,507695.2,389709.74
吉林,356310,413190.52,403482.25,381452.65,372256,362928,188065.71,166108.72
黑龙江,490164,521896.19,514299.73,489093.76,472248.4,456331.21,338220.91,293659.33
上海,358100,240101.5,228218.29,215848.15,188149.16,170843.52,74245.77,18502.23
江苏,1050488,1053799.74,991966.79,941679.05,904740.62,835058.81,570115.7,410690.43
浙江,678342,662048.27,625766.42,593363.79,574012.17,537826.34,268384.63,190468.12
安徽,532076,529473.84,519589.35,501349.13,492965.67,480072.79,281566.51,235419.41
福建,409051,389174.59,371251.34,361003.48,355957.2,337881.74,189257.18,133890.72
江西,557072,584061.27,567687.21,557703.6,534414.92,528064.92,276888.22,215464.1
山东,1537818,1827397.2,1748806.99,1644967.09,1590236.96,1525670.1,1134524.43,739121.42
河南,1338701,1370504.08,1275909.33,1253983.82,1198182.07,1144252.03,413622.67,286316.67
湖北,632582,665640.29,622367.29,599352.87,583759.24,551358,285602.99,220059.71
湖南,801311,685529.58,644959.47,641321.04,623688.6,595473.42,346766.41,214584.89
广东,1050508,847727.6,799223.24,761896.06,730146.58,678341.35,353692.57,276773.81
广西,903826,521022.51,504123.33,471986.8,466588.74,421198.7,201063.67,177318.18
海南,28810,32572.39,34136.86,32414.15,32563.91,32300.06,16957.63,14271.49
重庆,719404,586929.07,564776.63,547686.06,526944.28,495801.96,288337.75,253381.46
四川,1130952,902006.3,864440.44,816706.01,796401.53,717584.45,488269.45,389142.9
贵州,1148830,1104284,1041086.62,986423.12,925787.1,852964.5,647063.92,687465.46
云南,500702,691225.79,672215.92,663091.24,636683.23,583739.22,526208.98,384449.37
西藏,3857,4175.73,4184.66,4191.66,4249.87,5373.02,5411.41,3462.81
陕西,778649,916838.68,843755.44,806152.32,780954.38,735017.21,318012.39,279359.33
甘肃,551785,623902.18,572489.4,561980.82,575648.72,570621.39,271975.89,258811.14
青海,143431,156602.1,153853.33,156694,154276,150766,113692.7,92416.66
宁夏,310752,410385.49,406633.25,389712.3,377055.54,357596.19,236859.01,207520.16
新疆,588487,763055.29,796128.41,829431.08,852981.33,778330.32,480686.93,418180.06
